Floor,T1,T1,T1,T1,T2,T2,T2,T2,T3,T3,T3,T3,T3,T4,T4,T4,T4,T4,T5,T5,T5,T5,T5,T5,T6,T6,T6,T6,T6,T6,T7,T7,T7,T7,T7,T7,T8,T8,T8,T8,T8,T8,T9,T9,T9,T9,T9,T9,T10,T10,T10,T10,T10,T10,T11,T11,T11,T11,T11,T11
G, ,,,,`001,,`003,`004,`001,`002,,,`005,`001,,,`004,`005,`001,`002,`003,,`005,`006,`001,`002,`003,,`005,`006,`001,,,,`005,`006,`001,,,,`005,`006,`001,`002,`003, ,`005,`006,`001,`002,,`004,`005,`006,`001,`002,,,`005,`006
1,101,,,104,101,,103,104,101,102,,,105,101,,,104,105,101,102,103,,105,106,101,102,103,,105,106,101,,,,105,106,101,,,,105,106,101,102,103,,105,106,101,102,,104,105,106,101,102,,,105,106
2,201,,203,204,201,202,203,204,201,202,203,204,205,201,202,203,204,205,201,202,203,204,205,206,201,202,203,204,205,206,201,202,203,204,205,206,201,202,203,204,205,206,201,202,203,204,205,206,201,202,203,204,205,206,201,202,203,204,205,206
3,301,,303,304,301,302,303,304,301,302,303,304,305,301,302,303,304,305,301,302,303,304,305,306,301,302,303,304,305,306,301,302,303,304,305,306,301,302,303,304,305,306,301,302,303,304,305,306,301,302,303,304,305,306,301,302,303,304,305,306
4,401,,403,404,401,402,403,404,401,402,403,404,405,401,402,403,404,405,401,402,403,404,405,406,401,402,403,404,405,406,401,402,403,404,405,406,401,402,403,404,405,406,401,402,403,404,405,406,401,402,403,404,405,406,401,402,403,404,405,406
5,501,502,503,504,501,502,503,504,501,502,503,504,505,501,502,503,504,505,501,502,503,504,505,506,501,502,503,504,505,506,501,502,503,504,505,506,501,502,503,504,505,506,501,502,503,504,505,506,501,502,503,504,505,506,501,502,503,504,505,506
6,601,602,603,604,601,602,603,604,601,602,603,604,605,601,602,603,604,605,601,602,603,604,605,606,601,602,603,604,605,606,601,602,603,604,605,606,601,602,603,604,605,606,601,602,603,604,605,606,601,602,603,604,605,606,601,602,603,604,605,606
7,701,702,703,704,701,702,703,704,701,702,703,704,705,701,702,703,704,705,701,702,703,704,705,706,701,702,703,704,705,706,701,702,703,704,705,706,701,702,703,704,705,706,701,702,703,704,705,706,701,702,703,704,705,706,701,702,703,704,705,706
8,801,802,803,804,801,802,803,804,801,802,803,804,805,801,802,803,804,805,801,802,803,804,805,806,801,802,803,804,805,806,801,802,803,804,805,806,801,802,803,804,805,806,801,802,803,804,805,806,801,802,803,804,805,806,801,802,803,804,805,806
9,901,902,903,904,901,902,903,904,901,902,903,904,905,901,902,903,904,905,901,902,903,904,905,906,901,902,903,904,905,906,901,902,903,904,905,906,901,902,903,904,905,906,901,902,903,904,905,906,901,902,903,904,905,906,901,902,903,904,905,906
10,1001,1002,1003,1004,1001,1002,1003,1004,1001,1002,1003,1004,1005,1001,1002,1003,1004,1005,1001,1002,1003,1004,1005,1006,1001,1002,1003,1004,1005,1006,1001,1002,1003,1004,1005,1006,1001,1002,1003,1004,1005,1006,1001,1002,1003,1004,1005,1006,1001,1002,1003,1004,1005,1006,1001,1002,1003,1004,1005,1006
11,1101,1102,1103,1104,1101,1102,1103,1104,1101,1102,1103,1104,1105,1101,1102,1103,1104,1105,1101,1102,1103,1104,1105,1106,1101,1102,1103,1104,1105,1106,1101,1102,1103,1104,1105,1106,1101,1102,1103,1104,1105,1106,1101,1102,1103,1104,1105,1106,1101,1102,1103,1104,1105,1106,1101,1102,1103,1104,1105,1106
12,1201,1202,1203,1204,1201,1202,1203,1204,1201,1202,1203,1204,1205,1201,1202,1203,1204,1205,1201,1202,1203,1204,1205,1206,1201,1202,1203,1204,1205,1206,1201,1202,1203,1204,1205,1206,1201,1202,1203,1204,1205,1206,1201,1202,1203,1204,1205,1206,1201,1202,1203,1204,1205,1206,1201,1202,1203,1204,1205,1206
13,1401,1402,1403,1404,1401,1402,1403,1404,1401,1402,1403,1404,1405,1401,1402,1403,1404,1405,1401,1402,1403,1404,1405,1406,1401,1402,1403,1404,1405,1406,1401,1402,1403,1404,1405,1406,1401,1402,1403,1404,1405,1406,1401,1402,1403,1404,1405,1406,1401,1402,1403,1404,1405,1406,1401,1402,1403,1404,1405,1406
